household_id,patta_holder_name,state,district,village,tribal_group,claim_type,claim_status,land_area,pond_count,homestead_area,water_index,forest_cover_pct,dist_to_road_km,has_pm_kisan,has_jal_jeevan,has_mgnrega
1,Holder_1,Chandigarh,District_4,Village_G,Bhils,IFR,Approved,4.231540870188763,3,0.4165639002027902,0.3006987773728884,10.94595496143278,3.6267244803036705,1,0,0
2,Holder_2,Chandigarh,District_4,Village_H,Santhal,IFR,Approved,8.615108110238246,2,0.4663152957816509,0.5077251606430085,35.40060718965724,2.5040888472541805,1,1,0
3,Holder_3,Andaman & Nicobar,District_1,Village_A,Gond,IFR,Approved,7.844345896125929,1,0.24391763741811978,0.8270923250552029,52.07638171774119,2.1314891111092646,1,0,1
4,Holder_4,Chandigarh,District_4,Village_G,Gond,CR,Approved,3.4449994031319986,2,0.22278891288360728,0.7281519075382731,69.40245863291457,0.9269965875219897,1,0,0
5,Holder_5,Chandigarh,District_4,Village_G,Gond,IFR,Approved,2.704378374560507,2,0.178078865828753,0.48992504248064606,72.20494796855621,2.3208753654931167,1,0,0
6,Holder_6,Chandigarh,District_4,Village_H,Gond,CR,Approved,4.8532291787319215,3,0.37139646746023247,0.8562973196918223,43.86949790232563,3.899321459649123,1,1,1
7,Holder_7,Andaman & Nicobar,District_1,Village_A,Gond,IFR,Approved,,0,0.22923988066653492,0.1457893548134475,60.98957411096067,1.4672616611450864,1,0,0
8,Holder_8,Andaman & Nicobar,District_1,Village_A,Gond,CFR,Approved,9.621593954923082,3,0.4950998156396754,0.8447988957700673,32.15182035734203,0.22591300248165158,1,1,0
9,Holder_9,Chandigarh,District_4,Village_G,Gond,CR,Approved,7.754001154232439,0,0.2302739208255813,0.14040591390624524,33.953048403106024,3.4088235255247175,1,0,1
10,Holder_10,Andaman & Nicobar,District_1,Village_B,Bhils,CFR,Approved,8.624466357674516,2,0.2576544187130513,0.5378437952917475,23.612446342761963,4.868607701276252,0,0,0
11,Holder_11,Chandigarh,District_4,Village_G,Santhal,CR,Approved,6.229110908619907,1,0.3413336784848139,0.8123527584008686,49.336367699526754,3.112767505225198,0,1,1
12,Holder_12,Chandigarh,District_4,Village_G,Gond,CFR,Approved,8.436374393000197,3,0.42067371727652203,0.3101767548490423,32.019490564915564,0.7756249228502248,0,1,0
13,Holder_13,Chandigarh,District_4,Village_G,Bhils,IFR,Pending,7.951998151032468,0,0.2878074661382535,0.4777987991561269,15.905962750695352,1.7395188432544306,0,0,1
14,Holder_14,Chandigarh,District_4,Village_G,Bhils,IFR,Approved,4.0813626482996614,2,0.26906241351558335,0.3594631033095733,57.950426066422516,4.364679750657072,0,0,0
15,Holder_15,Chandigarh,District_4,Village_H,Santhal,IFR,Approved,5.743907870146851,0,0.4982551334379234,0.8617151336610811,59.542724532377875,1.316326756432777,0,0,1
16,Holder_16,Andaman & Nicobar,District_1,Village_A,Gond,CR,Approved,8.1451546589021,0,0.10419745645597778,0.7589164758024727,35.19946931453405,3.116940336788519,0,0,0
17,Holder_17,Chandigarh,District_4,Village_H,Santhal,CFR,Approved,0.9375389748045855,0,0.4580261155404983,0.6672012090611037,15.370637961921595,2.1328217996191894,0,1,0
18,Holder_18,Chandigarh,District_4,Village_H,Gond,IFR,Approved,8.176753182380384,2,0.159656330375895,0.570101589292087,39.84084021823982,1.1976498628143153,1,0,1
